campaign_id,geo,vertical,traffic_source,device,os,bid,daily_budget,impressions,clicks,conversions,spend,revenue,created_at
camp_05628,BR,ecommerce,push,desktop,macos,0.258,30,116643,6460,516,1678.98,2531.5,2024-01-01 01:00:00
camp_02728,US,nutra,facebook,desktop,macos,0.123,20,105407,1518,140,239.86,6913.27,2024-01-01 04:00:00
camp_02129,TH,ecommerce,facebook,tablet,ios,0.321,20,87343,1622,43,397.6,354.38,2024-01-01 04:00:00
camp_07424,GB,crypto,inapp,mobile,ios,0.203,50,235266,8280,150,1367.32,10873.6,2024-01-01 05:00:00
camp_06362,GB,ecommerce,inapp,mobile,ios,0.106,200,2850564,91646,6930,11360.95,219094.69,2024-01-01 05:00:00
camp_07473,GB,crypto,facebook,mobile,android,0.318,30,59926,1968,37,622.35,2849.0,2024-01-01 06:00:00
camp_04784,IT,gambling,push,desktop,windows,0.157,50,264744,7021,160,1011.14,6478.71,2024-01-01 06:00:00
camp_07765,TH,dating,google,desktop,macos,0.448,20,42271,1597,11,847.25,42.67,2024-01-01 06:00:00
camp_03517,US,gambling,push,mobile,ios,0.227,100,626620,35378,833,9553.88,31539.74,2024-01-01 07:00:00
camp_01110,NG,ecommerce,facebook,mobile,android,0.375,50,89221,2312,36,827.8,75.63,2024-01-01 07:00:00
camp_04357,DE,gambling,facebook,mobile,ios,0.059,30,1402732,44756,1565,2423.01,101378.33,2024-01-01 07:00:00
camp_07508,US,dating,tiktok,mobile,android,0.408,30,71768,2174,90,989.2,1402.31,2024-01-01 07:00:00
camp_02952,DE,crypto,tiktok,mobile,android,0.331,30,140858,3917,160,1482.47,14119.51,2024-01-01 08:00:00
camp_06603,US,sweepstakes,inapp,mobile,ios,0.605,20,16953,865,59,630.05,596.27,2024-01-01 08:00:00
camp_00534,TH,dating,native,mobile,android,0.294,30,80765,1360,28,330.02,169.42,2024-01-01 08:00:00
camp_04519,BR,crypto,tiktok,mobile,ios,0.348,100,315947,7138,94,2148.27,2451.65,2024-01-01 10:00:00
camp_00164,TH,finance,tiktok,mobile,ios,0.152,50,316718,6437,244,1073.66,6459.35,2024-01-01 10:00:00
camp_02966,MX,gambling,push,tablet,android,0.323,100,206518,6673,100,2456.36,1430.43,2024-01-01 10:00:00
camp_01496,MX,finance,facebook,desktop,windows,0.469,30,106904,2685,36,1148.3,730.18,2024-01-01 11:00:00
camp_02790,US,gambling,facebook,mobile,ios,0.41,30,58825,1372,59,438.19,6207.24,2024-01-01 11:00:00
camp_07036,BR,gambling,facebook,mobile,android,0.06,100,1298202,53382,1447,2929.01,19973.06,2024-01-01 12:00:00
camp_06279,FR,sweepstakes,facebook,mobile,android,0.189,500,1951236,55029,1819,12361.23,19474.5,2024-01-01 12:00:00
camp_04284,IT,sweepstakes,google,mobile,android,0.258,200,704467,66374,3116,12625.96,40072.19,2024-01-01 12:00:00
camp_06136,US,nutra,tiktok,mobile,android,0.148,100,549365,11069,1006,1883.55,49979.0,2024-01-01 12:00:00
camp_06766,PH,gambling,facebook,desktop,macos,0.477,10,20594,2197,48,738.78,789.68,2024-01-01 13:00:00
camp_05284,MX,ecommerce,tiktok,mobile,android,0.323,200,1051191,58277,1927,19695.79,9460.51,2024-01-01 13:00:00
camp_01893,US,nutra,native,desktop,windows,0.258,100,629733,38555,3002,7202.23,180361.91,2024-01-01 13:00:00
camp_02843,BR,sweepstakes,inapp,mobile,android,0.069,30,1431576,76023,2256,4569.66,17239.03,2024-01-01 13:00:00
camp_05155,DE,ecommerce,native,desktop,macos,0.275,10,24575,714,101,169.26,1517.59,2024-01-01 14:00:00
camp_04487,DE,dating,inapp,mobile,ios,0.121,50,1036481,42567,2109,6199.37,21328.2,2024-01-01 15:00:00
camp_06796,US,dating,native,desktop,macos,0.291,20,85288,2816,132,580.31,1064.25,2024-01-01 15:00:00
camp_01973,TH,nutra,facebook,desktop,macos,0.165,50,131178,5364,201,692.92,4772.78,2024-01-01 16:00:00
camp_06003,IN,dating,push,mobile,ios,0.429,30,125608,7601,206,2605.22,620.39,2024-01-01 16:00:00
camp_04936,MX,gambling,facebook,mobile,ios,0.099,50,233420,5730,135,558.14,1975.34,2024-01-01 16:00:00
camp_05907,GB,ecommerce,google,tablet,ios,0.152,30,67846,4399,238,803.11,12005.27,2024-01-01 16:00:00
camp_00238,GB,nutra,facebook,desktop,windows,0.542,10,15206,541,9,256.09,314.22,2024-01-01 17:00:00
camp_04343,IN,dating,tiktok,mobile,android,0.363,10,33532,680,23,197.58,257.78,2024-01-01 18:00:00
camp_04566,BR,nutra,push,desktop,macos,0.18,50,134588,6113,163,1208.93,2246.35,2024-01-01 18:00:00
camp_07058,US,ecommerce,native,mobile,android,0.22,50,312768,5316,224,997.11,2623.31,2024-01-01 19:00:00
camp_05832,PH,crypto,tiktok,mobile,ios,0.031,30,1172301,31187,462,1014.68,6511.99,2024-01-01 19:00:00
camp_02454,US,nutra,facebook,mobile,ios,0.224,50,96130,2952,186,578.84,17208.87,2024-01-01 20:00:00
camp_03017,MX,nutra,google,mobile,ios,0.324,20,46433,1063,16,390.42,137.7,2024-01-01 21:00:00
camp_07313,ID,nutra,push,mobile,ios,0.719,50,69807,1432,34,1276.76,223.79,2024-01-01 22:00:00
camp_03416,PH,sweepstakes,native,desktop,windows,0.193,30,185878,1345,22,210.49,62.43,2024-01-01 22:00:00
camp_04155,FR,gambling,facebook,mobile,android,0.574,50,41990,835,29,560.08,2611.02,2024-01-01 22:00:00
camp_04053,NG,sweepstakes,google,mobile,android,0.102,20,103989,1579,4,181.13,9.0,2024-01-01 23:00:00
camp_01037,IT,gambling,facebook,mobile,android,0.201,50,290176,4870,226,984.73,24783.11,2024-01-02 00:00:00
camp_04626,US,finance,native,desktop,macos,0.817,500,440381,5313,260,4814.27,19943.05,2024-01-02 01:00:00
camp_02730,DE,gambling,google,mobile,android,0.092,30,656414,21419,404,2471.12,29286.83,2024-01-02 02:00:00
camp_04446,PH,nutra,inapp,desktop,macos,0.14,20,139940,4416,138,475.37,683.95,2024-01-02 04:00:00
camp_07653,US,nutra,facebook,mobile,android,0.251,50,186734,2502,133,585.03,3799.48,2024-01-02 06:00:00
camp_00967,DE,finance,tiktok,mobile,ios,0.474,10,12072,167,20,64.2,565.86,2024-01-02 07:00:00
camp_07137,FR,dating,google,mobile,android,0.136,50,233712,14877,346,1422.42,3840.75,2024-01-02 07:00:00
camp_02888,US,ecommerce,google,mobile,android,0.067,30,732254,27185,2862,1414.77,104094.88,2024-01-02 08:00:00
camp_05779,IN,gambling,facebook,desktop,windows,0.361,100,198525,9173,76,3115.84,295.15,2024-01-02 08:00:00
camp_04689,ID,finance,facebook,mobile,ios,0.228,30,63914,1312,64,379.34,1055.44,2024-01-02 08:00:00
camp_05030,TH,dating,facebook,mobile,ios,0.438,100,204278,7654,181,3132.61,1068.97,2024-01-02 08:00:00
camp_06478,IT,gambling,google,mobile,ios,0.394,10,37049,1230,39,473.51,2107.25,2024-01-02 09:00:00
camp_05065,IT,crypto,facebook,mobile,ios,0.175,100,354393,15484,139,2521.5,6580.97,2024-01-02 09:00:00
camp_00047,NG,gambling,google,desktop,windows,0.116,50,385007,12842,141,1157.16,3041.6,2024-01-02 09:00:00
camp_03958,US,finance,push,mobile,ios,0.152,30,181868,8869,396,1527.8,20596.97,2024-01-02 09:00:00
camp_01061,PL,dating,facebook,desktop,windows,0.406,30,125843,7333,196,3704.9,982.92,2024-01-02 10:00:00
camp_05427,TR,sweepstakes,google,desktop,windows,0.227,50,180069,8421,166,1657.72,335.69,2024-01-02 10:00:00
camp_06736,GB,nutra,inapp,mobile,ios,0.268,30,223415,9331,286,2472.32,12105.68,2024-01-02 10:00:00
camp_03561,MX,ecommerce,native,mobile,android,0.266,50,92938,3959,145,1099.29,503.04,2024-01-02 10:00:00
camp_07910,DE,sweepstakes,inapp,mobile,ios,0.288,50,107246,5770,333,1886.49,6325.24,2024-01-02 10:00:00
camp_05269,US,gambling,facebook,desktop,macos,1.074,50,42947,2470,76,1970.83,3511.7,2024-01-02 10:00:00
camp_01752,TH,ecommerce,google,mobile,android,0.29,50,229032,10108,653,2055.46,3719.25,2024-01-02 11:00:00
camp_05787,IN,finance,google,desktop,macos,0.162,100,411812,32069,427,5994.84,4101.5,2024-01-02 11:00:00
camp_02163,NG,nutra,facebook,mobile,android,0.271,50,106124,4710,40,1547.99,342.28,2024-01-02 11:00:00
camp_06855,IT,ecommerce,tiktok,mobile,ios,1.359,20,8231,427,29,567.73,687.76,2024-01-02 11:00:00
camp_00007,MX,finance,facebook,mobile,ios,0.045,50,1562730,60696,2142,2230.37,44647.62,2024-01-02 11:00:00
camp_04998,US,dating,facebook,tablet,android,0.06,30,885394,40961,903,2787.24,22990.52,2024-01-02 12:00:00
camp_06209,GB,gambling,facebook,mobile,ios,0.588,100,187326,10148,346,6311.75,35136.37,2024-01-02 12:00:00
camp_04679,IT,gambling,push,desktop,macos,0.229,10,31759,2406,115,588.84,10584.7,2024-01-02 12:00:00
camp_05638,PH,dating,facebook,mobile,android,0.166,10,119413,5594,102,770.87,333.26,2024-01-02 12:00:00
camp_06447,NG,sweepstakes,native,mobile,ios,0.048,20,770079,26706,264,1504.57,510.98,2024-01-02 13:00:00
camp_04940,TH,finance,tiktok,mobile,ios,0.396,30,141934,4210,158,1878.67,2031.58,2024-01-02 13:00:00
camp_02517,PL,crypto,tiktok,mobile,ios,0.153,30,104292,2991,93,389.17,2213.01,2024-01-02 13:00:00
camp_00662,FR,crypto,facebook,desktop,windows,0.264,200,452008,18656,368,5390.03,21946.02,2024-01-02 14:00:00
camp_00421,IN,finance,inapp,mobile,ios,0.321,50,114403,5144,89,2060.32,627.51,2024-01-02 14:00:00
camp_03474,DE,finance,google,mobile,android,0.729,100,126695,8754,359,5275.1,15464.33,2024-01-02 14:00:00
camp_07767,IT,nutra,google,mobile,android,0.315,50,69951,5424,283,1939.8,5013.37,2024-01-02 14:00:00
camp_06774,BR,crypto,google,desktop,windows,0.188,10,40620,2021,21,376.43,618.24,2024-01-02 14:00:00
camp_05622,NG,dating,google,mobile,android,0.151,500,6160849,319505,3406,46947.45,7977.51,2024-01-02 15:00:00
camp_05095,TR,dating,google,mobile,ios,0.565,100,157558,3940,55,2595.7,634.7,2024-01-02 15:00:00
camp_02944,MX,finance,native,mobile,android,0.321,30,136309,2729,67,759.8,992.64,2024-01-02 15:00:00
camp_07132,US,finance,tiktok,desktop,windows,0.668,50,48607,1119,105,839.17,4202.83,2024-01-02 16:00:00
camp_02102,IN,ecommerce,google,mobile,android,0.224,10,96293,3780,202,691.45,806.01,2024-01-02 17:00:00
camp_02628,US,crypto,tiktok,desktop,windows,0.196,10,65959,1780,57,297.21,1907.85,2024-01-02 17:00:00
camp_01142,PL,finance,google,mobile,android,0.067,30,284924,6148,125,288.48,3756.34,2024-01-02 18:00:00
camp_05147,GB,crypto,facebook,desktop,macos,0.199,20,135981,3916,95,828.25,5969.1,2024-01-02 18:00:00
camp_00682,DE,sweepstakes,google,desktop,windows,0.274,50,137272,3591,346,1268.12,3469.89,2024-01-02 21:00:00
camp_06677,IN,sweepstakes,tiktok,desktop,windows,0.095,30,401770,5079,152,435.78,185.85,2024-01-02 22:00:00
camp_07595,FR,dating,tiktok,tablet,android,0.167,10,154518,1598,181,189.33,6268.88,2024-01-02 22:00:00
camp_06574,MX,ecommerce,inapp,mobile,ios,0.527,20,68770,1069,41,635.35,318.21,2024-01-02 23:00:00
camp_03484,PH,gambling,facebook,mobile,android,0.282,30,71061,1220,11,285.64,177.63,2024-01-03 00:00:00
camp_06161,IN,gambling,google,desktop,windows,1.066,20,15806,413,1,369.79,16.48,2024-01-03 01:00:00
camp_07158,JP,sweepstakes,push,desktop,windows,0.11,30,137729,5013,135,393.74,1382.04,2024-01-03 05:00:00
camp_05129,BR,nutra,tiktok,desktop,windows,0.054,30,343598,4327,150,253.98,1926.4,2024-01-03 06:00:00
camp_02332,GB,sweepstakes,tiktok,mobile,ios,0.269,50,261278,4894,153,1243.64,1997.56,2024-01-03 06:00:00
camp_03924,PL,crypto,facebook,mobile,ios,0.305,50,269044,5877,110,1828.68,4713.47,2024-01-03 06:00:00
camp_07554,DE,dating,google,mobile,ios,0.268,200,657092,22450,838,6563.95,14249.0,2024-01-03 06:00:00
camp_03008,US,finance,push,mobile,ios,0.184,10,37846,1762,190,416.91,4251.65,2024-01-03 07:00:00
camp_00616,ID,sweepstakes,facebook,mobile,android,0.126,20,140356,6064,100,770.62,420.2,2024-01-03 07:00:00
camp_05566,GB,finance,google,tablet,ios,0.386,30,45578,1781,168,855.32,9293.45,2024-01-03 08:00:00
camp_07874,PH,nutra,facebook,tablet,ios,0.108,30,513218,18301,855,2048.24,11857.04,2024-01-03 08:00:00
camp_04089,PL,nutra,facebook,desktop,macos,0.151,20,125158,2791,114,396.56,1511.49,2024-01-03 08:00:00
camp_05454,FR,dating,google,desktop,macos,0.154,100,527840,22239,885,4032.01,3325.07,2024-01-03 08:00:00
camp_04426,BR,finance,tiktok,mobile,ios,0.15,20,108174,2883,74,352.57,2328.35,2024-01-03 08:00:00
camp_05108,IN,crypto,google,mobile,android,0.278,100,345756,22513,333,7393.7,10893.04,2024-01-03 08:00:00
camp_07893,ID,ecommerce,push,desktop,macos,0.237,50,652897,59068,2138,14485.92,14825.81,2024-01-03 09:00:00
camp_00133,US,ecommerce,inapp,mobile,android,0.441,20,37089,1966,135,719.84,3168.09,2024-01-03 09:00:00
camp_06219,PL,nutra,facebook,mobile,android,0.19,50,239489,12637,839,2069.97,13766.93,2024-01-03 09:00:00
camp_04345,PH,ecommerce,google,mobile,ios,0.288,50,248417,9377,184,3266.79,428.19,2024-01-03 09:00:00
camp_02956,BR,dating,facebook,mobile,android,0.104,20,129569,5164,155,512.47,1609.28,2024-01-03 10:00:00
camp_00336,IN,ecommerce,facebook,desktop,windows,0.072,30,129103,3830,168,317.17,1191.02,2024-01-03 11:00:00
camp_05041,PL,ecommerce,inapp,desktop,windows,0.223,100,703120,61312,2799,9579.97,29001.67,2024-01-03 12:00:00
camp_00615,TR,crypto,google,mobile,android,0.539,50,70859,5067,71,2682.3,2088.35,2024-01-03 12:00:00
camp_03552,NG,gambling,tiktok,mobile,ios,0.343,30,143508,3930,43,1713.17,375.63,2024-01-03 12:00:00
camp_06188,ID,crypto,native,mobile,ios,0.26,20,51746,945,16,245.44,422.89,2024-01-03 12:00:00
camp_07764,US,dating,facebook,mobile,android,0.19,10,57186,4370,328,909.42,4305.16,2024-01-03 13:00:00
camp_01546,FR,dating,facebook,mobile,ios,0.137,50,318007,23858,1859,3749.53,82431.28,2024-01-03 13:00:00
camp_00273,US,dating,facebook,desktop,windows,0.094,50,499419,19025,2418,1708.12,38380.23,2024-01-03 13:00:00
camp_07374,PL,gambling,google,mobile,android,0.104,100,855790,49200,1460,3995.0,32758.68,2024-01-03 13:00:00
camp_07098,GB,crypto,native,desktop,windows,0.078,500,3816366,231735,6692,22010.84,438027.9,2024-01-03 13:00:00
camp_05693,US,nutra,tiktok,mobile,android,0.108,30,235286,14184,955,1844.18,16858.25,2024-01-03 13:00:00
camp_00215,PL,gambling,push,mobile,ios,0.216,30,213135,15468,164,2529.23,7486.36,2024-01-03 14:00:00
camp_07625,PL,crypto,facebook,mobile,ios,0.397,50,45464,1408,26,456.86,762.4,2024-01-03 14:00:00
camp_04749,MX,crypto,facebook,desktop,windows,0.288,20,36561,2054,59,642.18,2248.53,2024-01-03 14:00:00
camp_01385,IN,crypto,tiktok,tablet,android,0.053,50,931546,31220,270,1246.48,7036.48,2024-01-03 14:00:00
camp_06521,US,gambling,push,mobile,android,0.099,100,1170827,60662,2851,6053.98,65493.31,2024-01-03 14:00:00
camp_06078,PL,dating,tiktok,desktop,windows,0.226,100,675631,27654,1967,5904.49,14521.86,2024-01-03 15:00:00
camp_03260,PL,nutra,facebook,mobile,ios,0.358,50,125952,4594,364,1339.98,6298.62,2024-01-03 15:00:00
camp_00235,IN,sweepstakes,native,desktop,macos,0.175,200,822254,22322,494,4662.09,1648.11,2024-01-03 15:00:00
camp_03639,BR,gambling,tiktok,mobile,android,0.283,50,120262,2840,65,709.97,2170.37,2024-01-03 15:00:00
camp_00880,TR,nutra,native,mobile,android,0.402,30,36840,2047,25,720.73,295.58,2024-01-03 15:00:00
camp_05657,DE,finance,native,mobile,ios,0.227,30,138997,5250,131,1528.82,10853.65,2024-01-03 16:00:00
camp_01633,IN,crypto,facebook,mobile,ios,0.298,30,79839,3119,29,861.72,190.84,2024-01-03 17:00:00
camp_05232,TH,dating,inapp,mobile,android,0.187,20,59257,1921,62,310.24,195.21,2024-01-03 18:00:00
