ad_id,ad_text,vertical,geo,impressions,clicks,conversions,ctr,cr
ad_0000,"Минус 8кг за 7 дней! 50,000+ отзывов. Скидка 40% только сегодня 🔥",nutra,DE,198061,25066,182,0.12656,0.00729
ad_0001,Получи 100€ фриспинов прямо сейчас! Регистрация за 30 секунд 🔥,gambling,MX,115604,6627,47,0.05733,0.00724
ad_0002,Получи 150% фриспинов прямо сейчас! Регистрация за 30 секунд 🔥,gambling,US,65990,5260,31,0.07971,0.00594
ad_0003,"Минус 12кг за 5 дней! 1,000+ отзывов. Скидка 40% только сегодня 🔥",nutra,IT,122757,16969,177,0.13824,0.01044
ad_0004,Продукт для снижения веса. Попробуйте и оцените результат,nutra,IN,6703,69,0,0.01037,0.00073
ad_0005,Лучшие слоты онлайн. Бонус 200% на первый депозит. Играй сейчас,gambling,ID,45758,1229,2,0.02686,0.00187
ad_0006,Получи 100% фриспинов прямо сейчас! Регистрация за 30 секунд 🔥,gambling,TR,104595,5057,11,0.04835,0.00218
ad_0007,Лучшее онлайн казино для вас. Попробуйте свою удачу сегодня,gambling,TR,95165,905,0,0.00952,0.00064
ad_0008,Продукт для снижения веса. Попробуйте и оцените результат,nutra,IN,16390,148,0,0.00905,0.0006
ad_0009,Похудение без диет. NaturThin со скидкой 30%. Бесплатная доставка,nutra,PH,25656,403,0,0.01571,0.00062
ad_0010,Натуральное средство для стройности. Простой заказ онлайн,nutra,IN,169794,2602,2,0.01533,0.00086
ad_0011,Снижение веса естественным путём. Закажи KetoMax сегодня,nutra,TR,189699,4480,4,0.02362,0.00092
ad_0012,Онлайн казино. Широкий выбор игр. Бонусы для игроков,gambling,US,64742,1762,3,0.02723,0.00225
ad_0013,Букмекер онлайн. Множество событий для ставок каждый день,betting,DE,66024,789,1,0.01196,0.00134
ad_0014,"Выиграй до 100,000€ с бонусом 500€! Начни с 5€ депозита",gambling,ID,102040,2069,3,0.02028,0.00149
ad_0015,Букмекерская контора. Ставки на спорт онлайн. Регистрация,betting,BR,74986,884,1,0.0118,0.00206
ad_0016,Снижение веса естественным путём. Закажи KetoMax сегодня,nutra,DE,145021,5752,9,0.03967,0.00173
ad_0017,"⚡ ПОСЛЕДНИЙ ДЕНЬ: BurnPro со скидкой 60%. Уже 5,000+ заказов",nutra,BR,172772,14459,50,0.08369,0.00348
ad_0018,Известный блогер раскрыл секрет: минус 5кг за 7 дней. Попробуй бесплатно!,nutra,MX,13414,461,0,0.03443,0.00115
ad_0019,"🏆 50,000 тысяч игроков выбрали нас. Фрибет 100%€. Присоединяйся!",betting,ID,153682,3073,6,0.02,0.00212
ad_0020,Фитнес-тренер раскрыл секрет: минус 12кг за 2 дней. Попробуй бесплатно!,nutra,TR,125285,4595,10,0.03668,0.00232
ad_0021,"1,000+ игроков уже выиграли сегодня. Твоя очередь! Бонус 150%",gambling,IN,146289,5525,15,0.03777,0.00276
ad_0022,"Букмекер с лицензией. 5,000+ видов спорта. Фрибет до 100€€",betting,IT,99895,1922,2,0.01925,0.00155
ad_0023,"Играй в лучшие слоты. Бонус 500€, вейджер x30. Регистрируйся",gambling,GB,17351,555,1,0.03203,0.00352
ad_0024,Онлайн казино. Широкий выбор игр. Бонусы для игроков,gambling,GB,46938,1534,2,0.03269,0.00154
ad_0025,Снижение веса естественным путём. Закажи SlimFit сегодня,nutra,ID,105864,2475,3,0.02338,0.00125
ad_0026,"Делай ставки на спорт. Высокие коэффициенты, быстрые выплаты",betting,IT,143704,3440,9,0.02394,0.00288
ad_0027,Букмекер онлайн. Множество событий для ставок каждый день,betting,MX,8009,103,0,0.01289,0.0017
ad_0028,Средство для похудения. Натуральные компоненты. Закажите,nutra,DE,145763,3241,3,0.02224,0.00122
ad_0029,LIVE ставки на Bundesliga! Бонус 200%€ + кэшбэк 10%. Начни сейчас 🔥,betting,TR,123940,5251,29,0.04237,0.00568
ad_0030,"Играй в лучшие слоты. Бонус 200€, вейджер x35. Регистрируйся",gambling,IN,138085,2112,2,0.0153,0.00116
ad_0031,Лучшее онлайн казино для вас. Попробуйте свою удачу сегодня,gambling,IN,172496,1642,0,0.00952,0.00053
